"filename", "language", "C++", "comment", "blank", "total"
"c:\Temp\Study\6 semestr\Kurs\Kurs\arrow.cpp", "C++", 4, 0, 1, 5
"c:\Temp\Study\6 semestr\Kurs\Kurs\arrow.h", "C++", 1, 0, -1, 0
"c:\Temp\Study\6 semestr\Kurs\Kurs\basedblocksetting.h", "C++", 4, 0, 2, 6
"c:\Temp\Study\6 semestr\Kurs\Kurs\compositeblocksetting.h", "C++", 4, 0, 1, 5
"c:\Temp\Study\6 semestr\Kurs\Kurs\diagramitemsparql.cpp", "C++", 4, 0, 1, 5
"c:\Temp\Study\6 semestr\Kurs\Kurs\diagramitemsparql.h", "C++", 1, 0, 0, 1
"c:\Temp\Study\6 semestr\Kurs\Kurs\mainwindow.cpp", "C++", 2, 0, 0, 2
"c:\Temp\Study\6 semestr\Kurs\Kurs\mainwindow.h", "C++", 1, 0, 0, 1
"c:\Temp\Study\6 semestr\Kurs\Kurs\sparqlblocksetting.h", "C++", 4, 0, 2, 6
"c:\Temp\Study\6 semestr\Kurs\Kurs\sparqlblockwindow.cpp", "C++", 43, 8, 3, 54
"c:\Temp\Study\6 semestr\Kurs\Kurs\sparqlblockwindow.h", "C++", 4, 0, 0, 4
"c:\Temp\Study\6 semestr\Kurs\Kurs\virtualsetting.cpp", "C++", 4, 0, 3, 7
"c:\Temp\Study\6 semestr\Kurs\Kurs\virtualsetting.h", "C++", 12, 0, 5, 17
"Total", "-", 88, 8, 17, 113
